,Rj,Cj,Rtmdc,Cp,Lp,Rex,fpulse,mode
0,100000.0,1e-16,10000.0,1e-18,1e-05,10000000.0,80000000.0,1.0
1,100000.0,1e-16,10000.0,1e-17,1e-05,10000000.0,80000000.0,1.0
2,100000.0,1e-16,10000.0,1e-16,1e-05,10000000.0,80000000.0,1.0
3,100000.0,1e-16,10000.0,1e-15,1e-05,10000000.0,80000000.0,1.0
4,100000.0,1e-16,10000.0,1e-14,1e-05,10000000.0,80000000.0,1.0
5,100000.0,1e-16,10000.0,1e-13,1e-05,10000000.0,80000000.0,1.0
6,100000.0,1e-16,10000.0,1e-12,1e-05,10000000.0,80000000.0,1.0
7,100000.0,1e-16,10000.0,1e-11,1e-05,10000000.0,80000000.0,1.0
8,100000.0,1e-16,10000.0,1e-10,1e-05,10000000.0,80000000.0,1.0
9,100000.0,1e-16,10000.0,1e-09,1e-05,10000000.0,80000000.0,1.0
10,100000.0,1e-16,10000.0,1e-08,1e-05,10000000.0,80000000.0,1.0
11,100000.0,1e-16,10000.0,1e-07,1e-05,10000000.0,80000000.0,1.0
12,100000.0,1e-16,10000.0,1e-06,1e-05,10000000.0,80000000.0,1.0
13,100000.0,1e-16,10000.0,1e-05,1e-05,10000000.0,80000000.0,1.0
