,Rj,Cj,Rtmdc,Cp,Lp,Rex,fpulse,mode
0,100000.0,1e-16,100000.0,1e-18,0.001,1000.0,80000000.0,1.0
1,100000.0,1e-16,100000.0,1e-17,0.001,1000.0,80000000.0,1.0
2,100000.0,1e-16,100000.0,1e-16,0.001,1000.0,80000000.0,1.0
3,100000.0,1e-16,100000.0,1e-15,0.001,1000.0,80000000.0,1.0
4,100000.0,1e-16,100000.0,1e-14,0.001,1000.0,80000000.0,1.0
5,100000.0,1e-16,100000.0,1e-13,0.001,1000.0,80000000.0,1.0
6,100000.0,1e-16,100000.0,1e-12,0.001,1000.0,80000000.0,1.0
7,100000.0,1e-16,100000.0,1e-11,0.001,1000.0,80000000.0,1.0
8,100000.0,1e-16,100000.0,1e-10,0.001,1000.0,80000000.0,1.0
9,100000.0,1e-16,100000.0,1e-09,0.001,1000.0,80000000.0,1.0
10,100000.0,1e-16,100000.0,1e-08,0.001,1000.0,80000000.0,1.0
11,100000.0,1e-16,100000.0,1e-07,0.001,1000.0,80000000.0,1.0
12,100000.0,1e-16,100000.0,1e-06,0.001,1000.0,80000000.0,1.0
13,100000.0,1e-16,100000.0,1e-05,0.001,1000.0,80000000.0,1.0
